row,n,severity,verdict,title,step_ids,repro,expected,actual,evidence,root_cause,suggested_fix,walk_severity
H,1,P1,confirmed,"The per-lane host bubble is painted BEHIND the modal 'Go online?' popup, so no one can read which hosts a lane contacts",H3 H7,"Boot in airplane mode (the default), click the filled plane icon (#net-toggle), rest the mouse on any lane name under 'Where this will let the app connect:' (e.g. 'Law').","A bubble appears ON TOP of the popup next to the mouse with that lane's hosts, transport sentence and any always-on / discarded-switch sentence (Q1002: 'its hover lists, per lane, the hosts that lane will contact'; invariant #17).","Nothing appears. #oo-tip gets class 'show', opacity 1 and the right text, but it renders under the dialog. There are 0 changed pixels in the bubble's box on all 15 lanes in en, fr and zh (retried with a 1.5 s rest). The same bubble outside a dialog changes 73% of its box. In ar the bubble starts at the right-aligned lane, so only its part past the popup's right edge shows, dimmed by the ::backdrop and cut off at the dialog edge. The native title tooltip is suppressed too, because show() strips the title.","Screenshots /tmp/claude-0/walk/H/H-H3-en-law-hover.png, H-H3-en-press-hover.png, H-H3-en-custody-hover-1500ms.png, H-H7-ar-wiki-hover.png; pixel diffs in part1.json (H3[].diff_whole_tip), part2.json (H3_retry), part3.json (hover_checks); control part1.json H1.tip_on_plane_pixel_diff. Cause: src/static/app-core.js:1325 opens #net-consent with dlg.showModal(), which puts it in the top layer; src/static/app-boot.js:259-267 appends #oo-tip to <body>; src/static/app.css:1793 gives it only position:fixed; z-index:400, which cannot rise above the top layer; src/static/app-boot.js:280 removes the title on show. The earlier sandbox walks could not catch this: one used is_visible(), the other read textContent.","src/static/app-core.js:1325 opens #net-consent with dlg.showModal(), which puts it in the browser top layer. src/static/app-boot.js:259-267 creates #oo-tip and appends it to <body>. src/static/app.css:1793 gives it only position:fixed; z-index:400, and no z-index can rise above the top layer. src/static/app-boot.js:281 removes the element's title on show(), so the native tooltip cannot stand in either. The 2026-09-16 sandbox record (docs/audit/net-consent-hosts-2026-09-16/clickthrough.py:89-90) used locator.is_visible(), which does not detect top-layer occlusion.","In ooTipInit's show() (app-boot.js ~line 279), host the bubble in the top-most open modal that contains the hovered element before showing it: `const host = el.closest('dialog[open]') || document.body; if (tip.parentElement !== host) host.appendChild(tip);`. hide() needs no change, and moving the bubble back to <body> on hide is optional. The alternative is to make #oo-tip a manual popover (tip.popover='manual'; tip.showPopover() in show(), hidePopover() in hide()), so it enters the top layer above the dialog. Add a Chromium regression that checks elementFromPoint at the bubble's centre, or a pixel check, instead of is_visible().",P1
H,2,P3,confirmed,"Lane names in the consent popup cannot take keyboard focus, so their host bubble has no keyboard path",H3,"Open the 'Go online?' popup, press Tab repeatedly.","Each lane name is focusable, and focus opens its #oo-tip bubble (invariant #17: 'opens … on hover, keyboard focus, or touch long-press').",All 15 lane spans have tabIndex -1. Tab cycles Go online > body > #net-consent-body > Stay offline > Go online and never reaches a lane.,part1.json H3_lane_focusable and H3_tab_sequence; src/static/app-core.js:1237-1246 (_laneLine renders a plain <span title=…> with no tabindex). The fix for the P1 would need to cover this path too.,src/static/app-core.js:1246 (_laneLine) renders `<span title=...>` with no tabindex. src/static/app-boot.js:269-273 (mark) adds .oo-tip-target but never makes the element focusable.,"Add tabindex=""0"" to the lane span in _laneLine (app-core.js:1246). Together with the P1 fix, the existing focusin handler then opens the bubble inside the dialog. An app-wide fix would have mark() add tabindex=0 to non-focusable .oo-tip-target elements, but that is a larger change to the focus order.",P2
H,3,P3,confirmed,Arabic (RTL): '*.wikipedia.org' in the Wikipedia lane bubble is broken; its '*.' jumps to the far end of the line,H7,"Switch to العربية, open the popup, hover 'ويكيبيديا / ويكيميديا' and look at the part of the bubble that shows past the popup's right edge.",Each host reads left to right as one intact token ('*.wikipedia.org').,The line reads 'wikipedia.org · stream.wikimedia.org ·.*': the leading '*.' is placed at the right-hand end by the RTL bidi algorithm.,"/tmp/claude-0/walk/H/H-H7-ar-wiki-hover-zoom.png, H-H7-ar-wiki-hover.png. The host list is joined as plain text (src/static/app-core.js:1218-1234, _laneHostTitle) and rendered as textContent in an RTL #oo-tip, with no LTR isolation (<bdi>, dir=ltr or U+2066/U+2069) around each host.","src/static/app-core.js:1221 (_laneHostTitle) joins hosts as plain text, and app-boot.js:282 renders them as tip.textContent in an RTL document with no LTR isolation around each host token.","Wrap each host in LTR isolates when building the title: `lane.hosts.map(h => '⁦' + h + '⁩').join(' · ')` (FSI/LRI…PDI). Plain text cannot carry <bdi>, so isolate characters are the smallest fix; tests that compare the hover's host list against the enumeration then need to strip U+2066/U+2069. Alternatively, render the host segment of the bubble in a dir=ltr span, which would require show() to accept markup.",P3
H,4,P3,confirmed,"'Discover by topic', once enabled, is listed under 'Runs on every collection pass:', though SECURITY.md says it is strictly user-triggered and never part of the scheduler",H5 H9,"Settings > Advanced > Safety & at-risk use > tick 'Allow topic-discovery queries to DuckDuckGo', then open the popup with the plane icon.","The popup's heading states the lane's real trigger, which is user-triggered (SECURITY.md Discover by topic row: 'Strictly user-triggered: never part of ingestion, the scheduler, or any default path').","'Discover by topic' appears under 'Runs on every collection pass:' next to the pass/ride-along lanes. It over-discloses rather than hides, but the consent surface and the security notes disagree.",/tmp/claude-0/walk/H/H-H5-en-popup-on.png; part2.json H5.popup_groups_on; src/static/app-core.js:1144-1166 (an opt-in lane whose setting is on returns the 'on' state) and 1263-1265 (the 'on' bucket is rendered under 'Runs on every collection pass:'); src/static/net-hosts.js:173-180 (trigger 'opt-in').,"src/static/app-core.js:1144-1166 (_laneState) returns _NET_STATE_ON for any 'opt-in' lane whose switch is on. app-core.js:1263-1265 renders the 'on' bucket under 'Runs on every collection pass:'. src/static/net-hosts.js topic-discovery entry has trigger 'opt-in', which is shared with the custody lane even though their runtime triggers differ.","Give the topic-discovery lane in net-hosts.js an optional field such as ""whenOn"": ""ask"", and in _laneState return _NET_STATE_ASK instead of _NET_STATE_ON when the switch reads on and lane.whenOn === 'ask'. The lane then appears under 'Only when you ask for it:' when enabled and under 'Switched off right now:' when disabled. Document the field in net-hosts.js's header and pin both states in tests/net_lane_state_node_test.js.",P3
H,5,P3,confirmed,Local AI bubble in transparent mode says 'Not through this app's fetcher or proxy.' while SECURITY.md says the lane is Mixed (api.github.com is a guarded fetch),H3 H4,"Default transparent mode: open the popup and read the 'Local AI install & weights' lane's hover text (in the DOM, since the bubble is not visible), then compare with the Local AI row's Transport column in Help > Security.",The hover and the security notes agree: part of the lane (the installer check to api.github.com) uses the fetcher.,The hover says 'Not through this app's fetcher or proxy.' The 'mostly direct' sentence that honours lane.mixed appears only in protected mode.,part1.json H3 (Local AI hover_text_dom); part2.json H4 rows (Local AI transport 'Mixed. api.github.com is a guarded fetch.'); src/static/app-core.js:1189-1190 returns before looking at lane.mixed when not in protected mode.,"src/static/app-core.js:1190 `if (!protectedMode) return t(""Not through this app's fetcher or proxy."");` returns before lane.mixed is looked at (the mixed branch is at :1193-1195).","In _laneTransport, check lane.mixed in the non-protected branch too, for example `if (!protectedMode) return lane.mixed ? t(""Mostly not through this app's fetcher or proxy — only the installer check uses the fetcher."") : t(""Not through this app's fetcher or proxy."");`. Add the new key to all 12 locales, and extend net_lane_transport_node_test.js to pin the mixed lane's direct and unknown lines.",P3
H,6,P3,confirmed,docs/SECURITY.md has drifted from the UI and the code it cites,H4,Help > Security > the endpoint table; compare with Settings > Wikipedia and src/scheduler/runner.py.,The table names the current button and code lines.,"The Wikipedia row's Trigger says 'Estimate size', but the button is now 'Refresh exact sizes' (src/static/index.html:1843). The Law and Calendars rows cite src/scheduler/runner.py:1250 / :1248 (also at SECURITY.md:143), but the getattr reads are at runner.py:1162-1166. 'Last checked 2026-09-16' predates the Keyword translations lane and the two added Wikimedia hosts, though the table does list them.","part2.json H4.rows; docs/SECURITY.md:33, 79, 81, 84, 126, 143; grep of src/scheduler/runner.py for auto_track_law / auto_import_calendars (lines 1162, 1164).","docs/SECURITY.md:79, 81, 82, 84 and 143 cite line numbers and a button label that later commits to src/scheduler/runner.py and src/static/index.html moved or renamed. tests/test_security_endpoint_enumeration.py pins the hosts but not the module:line citations.","Rename 'Estimate size' to 'Refresh exact sizes' in the Wikipedia row's Trigger. Re-derive the runner.py citations (1162, 1164, 1173, 1245, 1356), or better, cite grep-stable anchors such as `getattr(settings, ""auto_track_law"", True)` instead of line numbers. Bump 'Last checked'.",P3
H,7,P3,confirmed,French: the colon of 'Votre machine présente ces adresses réseau locales :' wraps alone onto its own line in the popup,H7,Switch to Français at 1440 px and open the popup.,"French punctuation spacing uses a no-break space, so ':' stays with its word.",The ':' sits alone on the second line. fr.json uses a plain U+0020 before ':' in this and the other popup headings.,/tmp/claude-0/walk/H/H-H7-fr.png; src/static/locales/fr.json keys 'Your machine presents these local network addresses:' / 'Where this will let the app connect:' / 'Runs on every collection pass:' (the character before ':' is 0x20).,"src/static/locales/fr.json, value of key 'Your machine presents these local network addresses:' (and 521 other values): a breakable U+0020 before ':' where French typography requires a no-break space (U+00A0 or U+202F).","Replace ' :' with ' :' (or U+202F) in that fr.json value. A one-time mechanical pass over fr.json does the same for ' :', ' ;', ' !' and ' ?' app-wide, and an i18n check can keep plain-space colons from coming back.",P3
H,8,P3,confirmed,"Off-row, seen incidentally: the Home at-a-glance strip keeps English labels in fr and ar",H7,Switch to Français or العربية and look at the Home strip behind the popup.,Chrome strings are translated in all 12 locales.,"'KEYWORDS', 'COMMODITY PRICES', 'ARTICLE LINKS', 'MENTIONED DATES', 'SOURCES QUALIFIED', 'SOURCES PENDING', 'SOURCES CANDIDATES', 'Automatic collection:' and 'stopped' stay English. The cause was not located, because it is outside this row.","/tmp/claude-0/walk/H/H-H7-fr.png, H-H7-ar.png (top strip).","(1) Permanent: src/static/app-home.js:21-25 HOME_STAT_LABELS has no entries for sources_qualified, sources_pending or sources_candidates (emitted by src/api/database.py:110-112). homeStatLabel (app-home.js:26-29) therefore falls back to the lowercase 'sources qualified', etc., which is not a key in any locale. (2) Lag: #home-stats sits in a [data-i18n-dyn] subtree the DOM walker skips (i18n.js:~60). The oo:langchange handler (app-boot.js:128-135) repaints the strip only when it is showing the read failure, never real stats, and boot can render before OOI18N.ready, so labels wait for refreshHomeLive's 15 s poll (app-home.js:844).","Add sources_qualified: 'Sources qualified', sources_pending: 'Sources pending' and sources_candidates: 'Source candidates' to HOME_STAT_LABELS, with keys in all 12 locales. Keep the last payload and repaint the strip from it in the oo:langchange handler and on OOI18N.ready, the same pattern renderHomeWikiFigure(cached) already uses.",P3
I,1,P2,confirmed,"Stage-4 row freezes at run end, then reads 'could not be read' on every reopen and after a restart, even while the re-index runs (Q204/Q205)",I7 I9 I8,"Import four uncertified (pre-R24) backups at K = 3 with the dialog open and wait until the run ends. Then close and reopen Import…; also relaunch mid-drain, unlock, and open Import… while Processes shows the re-index running.","Row 4 counts the re-index from the resume-status endpoint ('resuming re-index — X of Y' / 'N articles left to re-index'), and the third line reads 'Analytics are still catching up: …' until stage 4 is done, including after a reopen or a restart.","At the end row 4 froze at '3,600 articles left to re-index' while the real backlog was 4,800 and draining (task manager 500 → 1000 / 4800). On every reopen, and after the restart while the drain was running, row 4 read 'could not be read' and the third line 'Whether analytics have caught up could not be read.', unchanged 4 s later.","I-I7-reopen-en.png, I-I9-import-after-restart-en.png, I-I8-taskmanager-en.png, events.jsonl (I7_all_done, I7_reopen_4s, I9_import_dialog_3s). src/static/app-backup.js:762 (reopen nulls _uxImRx), 1233-1251 (read only inside a running-queue tick; chain stops at terminal), 1697-1705 (_uxImReattach renders without reading).","src/static/app-backup.js:1238-1248: _uxImTickQueue is the only reader of /reindex-backlog/resume/status. It is paced to 5 s, so the terminal tick usually skips the read. At :1253 it stops the chain on any terminal queue state, so stage 4 is never read again once the run ends. The drain only starts after the run's window closes (import_queue.py _run, around line 520). openUnifiedImport clears the read (:762, _uxImRx = null). _uxImReattach (:1697-1703) then renders with it null and arms the chain only when state === 'running' (:1702). A finished or interrupted run, including the post-boot auto-resume, can therefore only render 'could not be read' (_uxImReindexBits :1511).","Decouple stage 4 from the queue's run state. On reattach and on the terminal tick, read resume/status unpaced before rendering. While the dialog is open and rx.state is 'running' or the backlog is above 0, keep a 5 s stage-4-only poll alive on the same timer and generation even though the queue is terminal. Render 'resuming re-index — X of Y' from that read, and stop the poll when rx is idle with a backlog of 0.",P2
I,2,P2,confirmed,"'✓ Analytics are complete' and row 4 'complete' are shown at the START of an import, before anything is merged (Q203)",I4,"On an install with no re-index backlog, start any corpus import and read the dialog in the first seconds.",Q203: the analytics statement becomes true only after stage 4; it must not read ✓ complete while the import has not merged anything.,Row 4 reads '4. Re-index the imported articles — complete' and the third line '✓ Analytics are complete — every imported article is indexed.' at 0/4 imported. Seen in both four-backup runs.,"I-I4-running-en.png (and run1/I-I4-running-en.png); src/static/app-backup.js:1510-1529 (_uxImReindexBits: backlog 0 → 'complete'), 1553-1564 (_uxImStatements reads only the backlog).","src/static/app-backup.js:1561-1569: _uxImStatements decides the third statement from rx.backlog.articles_pending alone, and :1526 (_uxImReindexBits) returns 'complete' when left === 0. Neither checks that the run's items are committed or that stages 1-3 are finished. The first two statements are gated on `saved` (:1553), but this one is not.","Gate the ✓ on `saved` (every item done or skipped), on the run no longer running (state !== 'running', so stage 3 is finished), and on rx.state !== 'running' with a backlog of 0. Until then show a pending bullet such as '• Analytics are complete once the re-index (stage 4) finishes', with row 4 reading 'not started'. The new string needs ×12 locales.",P2
