id,severity,surface,title,detail,evidence,new
ui-clickthrough-lc-view-hidden-verified-fixed,POSITIVE,state_a_first_launch,LC-VIEW-HIDDEN-ON-ERROR stays fixed under live re-verification,"a rejected short passphrase leaves the form visible (body text 720 chars); the error message is readable, never a blank page.",state-a-03-after-short-pw.png,False
ui-clickthrough-state-a-happy-path,POSITIVE,state_a_first_launch,The first-launch create-passphrase happy path reaches the app,a strong passphrase submitted after a rejected short one succeeds and lands on Home -- the error path does not corrupt the retry.,,False
ui-clickthrough-state-b-empty-honesty,POSITIVE,home_leads,"Home's empty-state honesty holds on a catalog-seeded, zero-article corpus","Home renders an explicit 'No Leads yet' message rather than a blank panel, with zero console errors.",docs/audit/ui-clickthrough-2026-08-20/evidence/state-b-home_leads.png,False
governments-tab-defaults-to-countries-not-law,P2,governments_default,"Governments tab still defaults to Countries, not Law","Confirmed still present live -- this is the KNOWN-OPEN item from the 2026-07-22 audit (independently rediscovered by 4 groups there), deliberate/documented per the triage. NOT counted as a new finding.",,False
ins-map-cjk-sentence-keywords-not-reproduced,P1,insights_map_cjk,Could not reproduce ins-map-cjk-sentence-keywords against the seeded zh corpus in this run,"sampled 60 pill texts, none matched the long-unsegmented-CJK pattern; the seeded corpus's zh keyword yield for country=cn may be thinner than the original run's, or the underlying segmentation gap may have narrowed since 2026-07-22 -- neither is confirmed here, this is an honest non-reproduction, not a verified fix.",,False
ui-clickthrough-topbar-fixed-375,POSITIVE,topbar,No page overflow and all core controls on-screen at 375px,the T1 phone-top-bar collapse verified live (activity chip forced visible — the measured worst case).,,False
ui-clickthrough-topbar-fixed-768,POSITIVE,topbar,No page overflow and all core controls on-screen at 768px,the T1 phone-top-bar collapse verified live (activity chip forced visible — the measured worst case).,,False
ui-clickthrough-topbar-fixed-1024,POSITIVE,topbar,No page overflow and all core controls on-screen at 1024px,the T1 phone-top-bar collapse verified live (activity chip forced visible — the measured worst case).,,False
ui-clickthrough-topbar-fixed-1440,POSITIVE,topbar,No page overflow and all core controls on-screen at 1440px,the T1 phone-top-bar collapse verified live (activity chip forced visible — the measured worst case).,,False
ui-clickthrough-topbar-fixed-375-home_leads,POSITIVE,topbar,No page overflow and all core controls on-screen at 375px on home_leads,the T1 phone-top-bar collapse verified live (activity chip forced visible — the measured worst case).,,False
ui-clickthrough-topbar-fixed-375-analysis_window,POSITIVE,topbar,No page overflow and all core controls on-screen at 375px on analysis_window,the T1 phone-top-bar collapse verified live (activity chip forced visible — the measured worst case).,,False
ui-clickthrough-topbar-fixed-375-post_import_screen,POSITIVE,topbar,No page overflow and all core controls on-screen at 375px on post_import_screen,the T1 phone-top-bar collapse verified live (activity chip forced visible — the measured worst case).,,False
ui-clickthrough-topbar-fixed-375-source_management,POSITIVE,topbar,No page overflow and all core controls on-screen at 375px on source_management,the T1 phone-top-bar collapse verified live (activity chip forced visible — the measured worst case).,,False
ui-clickthrough-topbar-fixed-375-diagnostics_panel,POSITIVE,topbar,No page overflow and all core controls on-screen at 375px on diagnostics_panel,the T1 phone-top-bar collapse verified live (activity chip forced visible — the measured worst case).,,False
ui-clickthrough-reader-covered,POSITIVE,reader,"The Reader (tabs, provenance classes, Loaded-language) is now walked — the 2026-08-13 report's largest named-surface gap closes",10 tabs drilled individually; the two-class provenance headings render; the Loaded-language pane renders.,docs/audit/ui-clickthrough-2026-08-20/evidence/reader.png,True
ui-clickthrough-bulletin-review-covered,POSITIVE,bulletin,The Bulletin review screen renders live for the first time (reached via the real override + generate path),hardware gate refuses honestly on this sandbox; the explicit llm_allow_impractical_hw override reveals the controls; a Layer-A generate over the synthetic corpus produced an edition whose review screen renders per-section content.,docs/audit/ui-clickthrough-2026-08-20/evidence/bulletin_review.png,True
a11y-home-color-contrast,P2,home,axe serious: color-contrast on home (6 nodes),"Elements must meet minimum color contrast ratio thresholds — targets: ['.tier-badge', '.ov-item:nth-child(1) > .cards > .bk-overtold.card[data-card=""4981cc0b247be71a""] > .card-inner > .card-back.card-face > .chip', '.ov-item:nth-child(1) > .cards > .bk-overtold.card[data-card=""4981cc0b247be71a""] > .card-inner > .card-back.card-face > .back.lead-flip-hint', '.ov-item:nth-child(2) > .cards > .bk-undertold.card[data-card=""a964502c07b8e89a""] > .card-inner > .card-back.card-face > .back.lead-flip-hint', '.ov-item:nth-child(3) > .cards > .bk-watch.card[data-card=""5fadea8638e4b1ac""] > .card-inner > .card-back.card-face > .back.lead-flip-hint']",,True
a11y-agenda-link-in-text-block,P2,agenda,axe serious: link-in-text-block on agenda (124 nodes),"Links must be distinguishable without relying on color — targets: ['.ag-row:nth-child(9) > .ag-body > .hint > .ext-link[rel=""noopener""]', '.ag-row:nth-child(10) > .ag-body > .hint > .ext-link[rel=""noopener""]', 'a[href$=""commission.europa.eu/""]', 'a[href$=""val.se/""]', 'a[href$=""ga/""]']",,True
a11y-analysis-nested-interactive,P2,analysis,axe serious: nested-interactive on analysis (1 nodes),Interactive controls must not be nested — targets: ['.an-tab'],,True
a11y-tasks-color-contrast,P2,tasks,axe serious: color-contrast on tasks (3 nodes),"Elements must meet minimum color contrast ratio thresholds — targets: ['#llm', '#tm-conn', '#jobs-body > .muted']",,True
a11y-reader-color-contrast,P2,reader,axe serious: color-contrast on reader (2 nodes),"Elements must meet minimum color contrast ratio thresholds — targets: ['.deduced > h3', '.dup-pill']",,True
honesty-class-with-no-rule-candidates,P2,app-wide,"7 used-but-unstyled class names LOOK presentational — triage candidates, not verdicts","a class with no rule reads as styled in the markup (the recorded class=""small"" lesson); candidates: ag-evtitlex153 <b>, an-panelx13 <div#an-overview>, adv-collectx12 <details>, bk-contextx6 <div>, tm-panelx5 <div#tm-tasks>, note-amberx1 <div>, pal-hintx1 <div> — most unstyled names are legitimate JS/state hooks; each candidate needs a human read before any rule is added.",,True
post-import-redesign-renders-live,POSITIVE,post_import_content,The post-import results screen renders its full redesigned content from a REAL import — browser-verified for the first time,"Articles-first headline, the labeled all-types row-sum, the BEFORE/AFTER corpus delta, qualification carried (criteria version shown), the work-induced indexing note and the additive-restore statement all rendered from a real volume-backup import on a fresh instance.",docs/audit/ui-clickthrough-2026-08-20/evidence/post_import_content.png,True
