file,chars,string
?,18,— explore & curate
?,21,— evidence & ordering
?,27,#last-price / .quote .value
?,27,/mnt/backup or D:\oo-backup
?,38,Source & article quality (.zip) · TEMP
?,47,e.g. (climate OR energy) AND policy NOT opinion
?,48,Analyse “' + esc(term) + '” across your corpus ↗
?,67,feature that sends a free-text search query to an external service:
?,69,"Everything you need to operate the tool — rendered here, offline. The"
?,92,is the detailed notice; the other guides go deeper on specific subjects. Developers: the raw
?,97,"Pages and revisions tracked over time (an hourly count, recorded from when this feature shipped)."
?,101,"). Import upserts by domain (new ones created, existing updated); bad rows are reported, not dropped."
?,107,"Legal documents and revisions tracked over time (an hourly count, recorded from when this feature shipped)."
?,111,"— statutes, gazettes, IP records — from official sources worldwide and track how it changes over time (the data"
?,112,": every record links back to its official gazette. Fetched only through the ethical, robots-respecting path. See"
?,112,"Default mapping is column 1 = date, column 2 = value (the FRED convention). Works with any CSV; missing values ("
?,127,in the table to fetch the page once and see the exact value found — or the exact reason it didn't match — before relying on it.
?,139,"Small evolution graphs instead of bare live figures (2026-07-23 field feedback) — hourly snapshots, real history, click a chart to enlarge."
?,149,"source — registered, not scraped (enable any to start collecting; idempotent, safe to repeat). This is a local database change, not a network action."
?,204,"Point at a folder and we'll find what's importable inside it — a backup to restore, large data (models / maps / dumps), or newsletters. Restore is always additive: nothing you already have is overwritten."
?,305,"The same leads Home surfaces, each shown with its REAL evidence as chips (n · distinct independent sources · freshest-evidence age) and a DISCLOSED order — never a composite score. This is a preview; Home keeps its current order until you graduate a mode here (browser-unverified — needs a click-through)."
?,330,"One place to back up everything, at any database size. Pick a destination folder or drive, choose what to include, and it streams into that folder — the encrypted corpus as volumes + parity, the large public blobs (models / maps / dumps) copied as-is. No size limit. (The older single-file backup below is being replaced by this.)"
?,331,"The COMPLETE on-disk footprint across every store — the encrypted database, its WAL, Wikipedia dumps, offline map regions, backup staging, and the local AI-model store (which lives outside the data folder). Only the encrypted corpus is irreplaceable; the rest is re-downloadable. A recursive size measurement, so it runs on demand."
?,378,"Gather several families — or cross-language groups (one concept across many languages, e.g. election / élection / wahl) — under one theme (e.g. Russia–Ukraine war, over Russia, Ukraine, Putin, sanctions…). A group member makes the super-group span languages. Pure curation — nothing in the keyword store changes; see the super-group's real statistics in Insights → Super-groups."
?,402,"Surface variants are grouped automatically (a shared lemma/plural, or a cross-language group — USA / США / EUA). Only rows where there is actually something to decide are shown below: a multi-member family, a group merge, or a family you already overrode. Tick two or more rows and Merge them, or click a member's ✕ to split it out. Your decisions win over the automatic rules and are fully reversible."
app.js,3,30m
app.js,3,WTI
app.js,3,adv
app.js,3,law
app.js,4,IMAP
app.js,4,Live
app.js,4,POP3
app.js,5,(opt)
app.js,5,Diff:
app.js,5,Leads
app.js,5,Stop:
app.js,6,Start:
app.js,7,Anchor:
app.js,7,Backend
app.js,7,Export:
app.js,7,Preview
app.js,7,Verify:
app.js,7,Windows
app.js,7,“cited”
app.js,8,500 kbps
app.js,8,Activity
app.js,8,Backend:
app.js,8,Install:
app.js,8,Pulling…
app.js,8,previous
app.js,9,show/hide
app.js,9,worldbank
app.js,10,(optional)
app.js,10,AI backend
app.js,10,DuckDuckGo
app.js,10,Enriching…
app.js,10,Rate slope
app.js,10,Summarize:
app.js,10,Translate:
app.js,11,OCR-derived
app.js,11,Start sweep
app.js,11,View chain:
app.js,11,Wiki pages:
app.js,11,data source
app.js,12,Discovering…
app.js,12,Group added.
app.js,12,has RSS feed
app.js,13,Aggregate the
app.js,13,Feed result —
app.js,13,Wiki changes:
app.js,13,add a family…
app.js,14,Map by country
app.js,14,NY.GDP.MKTP.CD
app.js,15,Could not copy:
app.js,15,Small multiples
app.js,15,e.g. article:42
app.js,15,on this machine
app.js,15,sample size (n)
app.js,16,Collection speed
app.js,16,Evidence export:
app.js,17,Could not remove:
app.js,17,Could not update:
app.js,17,Storage footprint
app.js,17,Wikipedia tracked
app.js,17,fixed annual date
app.js,18,Could not dismiss:
app.js,18,filter by this tag
app.js,19,Could not register:
app.js,19,Scanning citations…
app.js,19,Status unavailable:
app.js,20,Could not save note:
app.js,20,Source qualification
app.js,20,exclude this keyword
app.js,21,Could not edit watch:
app.js,21,Starting the install…
app.js,22,Could not load series:
app.js,22,placed at a known city
app.js,23,Close this analysis tab
app.js,23,Could not add to draft:
app.js,23,Could not delete watch:
app.js,23,Could not load sources:
app.js,23,Could not update watch:
app.js,24,Could not load settings:
app.js,24,Enter a save path first.
app.js,26,Backup status unavailable:
app.js,26,Could not preview targets:
app.js,26,Could not update collapse:
app.js,26,exact date moves each year
app.js,26,"keyword, keyword, keyword…"
app.js,27,Could not refresh briefing:
app.js,27,Load + grade queries first.
app.js,28,articles mentioning ANY term
app.js,28,the set scan reached its cap
app.js,29,Custody settings unavailable:
app.js,29,Fetch once and apply the rule
app.js,29,Scheduler status unavailable:
app.js,29,articles mentioning ALL terms
app.js,29,offline stored copy + history
app.js,30,Discovery failed — see console
app.js,31,Enter at least a host and user.
app.js,32,Your note (ships in the export)…
app.js,34,a date extracted from article text
app.js,34,age of the freshest dated evidence
app.js,35,Backup cancelled — nothing removed.
app.js,35,the first term and none of the rest
app.js,37,Open on the cross-country concept map
app.js,38,Could not change the collection speed:
app.js,39,Enter a condition (search query) first.
app.js,39,Enter an indicator or dataset id first.
app.js,39,Open the articles that cite this domain
app.js,41,Full overwrite complete. Restart the app.
app.js,42,Build an IR gold set (grade queries 0/1/2)
app.js,42,Local data crypto-erased. Restart the app.
app.js,42,"add a group (one concept, many languages)…"
app.js,43,Installing — this can take several minutes…
app.js,45,Set OO_KEY_PASSPHRASE to encrypt keys at rest
app.js,45,exact corpus-wide article count for this term
app.js,45,follow the official source for the exact date
app.js,46,Running full overwrite… this can take a while.
app.js,48,"country-level stand-in point, not the exact spot"
app.js,49,Opens a dedicated investigation view in a new tab
app.js,51,Nothing to split — this family has only one member.
app.js,60,Several providers publish this calendar — compare them below
app.js,69,"Watch added. It runs after every collection pass, or use “Check now”."
app.js,71,"Backup downloaded — save it somewhere safe, then click Uninstall again."
app.js,71,"Count this coordinated network as one voice (reversible, stays flagged)"
app.js,76,These signals are merely close in place and time within your current window.
app.js,85,"distinct independent sources — three articles from one outlet is one voice, not three"
app.js,118,This grouping merges a form via lemmatization (e.g. study/studied). Split any member out above if a merge looks wrong.
i18n.js,4,next
index.html,5,(any)
index.html,9,FR or all
index.html,9,https://…
index.html,9,🛒 Draft (
index.html,10,World Bank
index.html,10,china_spot
index.html,10,data-value
index.html,10,world-bank
index.html,11,"(2-letter),"
index.html,11,Import PDFs
index.html,11,Law tracked
index.html,11,Text size ·
index.html,11,e.g. figure
index.html,11,example.com
index.html,11,min sources
index.html,12,(required) ·
index.html,12,English (en)
index.html,12,Example News
index.html,12,auto (col 1)
index.html,12,auto (col 2)
index.html,12,the diff). A
index.html,12,— you decide
index.html,13,(co-citation)
index.html,13,Save gold set
index.html,13,en (optional)
index.html,13,fr (optional)
index.html,14,/home/you/pdfs
index.html,14,Checking vLLM…
index.html,14,Neodymium spot
index.html,14,What this does
index.html,14,"politics,world"
index.html,15,Loading themes…
index.html,15,Nd / AAPL / XAU
index.html,15,research mirror
index.html,15,you@example.com
