severity,category,workflow,surface_or_job,id,title,affects,what_i_did,what_i_saw,evidence,why_it_matters,suggestion
P0,invariant-regression,A1-walk-core,search,search-ratelimit-cascading-lockout,"The search endpoint's 100/hour rate limit, combined with automatic client-side retries, self-amplifies into an hour-long, app-wide lockout of the entire Search surface with only a transient toast as warning",,"Port 8012, theme ink, lang en, 1440x900. Ran a sequence of ~15 real queries (elections/climate/technology/zh/ar/boolean/no-result/filters) through the #q box and Search button as the brief asked, then re-tested individual queries to isolate CJK/Arabic behaviour. Captured every /api/articles response status and count via page.on('response')/page.on('request').","src/api/main.py:1350 rate-limits GET /api/articles to 100/hour per client IP. src/static/app-core.js's api() helper (lines ~1859-1909) automatically retries a 429 up to 4 times with backoff (500ms*(attempt+1), so up to 5 requests fired for ONE user click). Once the 100/hour budget was exhausted by ordinary exploratory querying, every subsequent Search click fired all 5 retry requests, got 429 every time, and produced ONLY a transient toast ('Search failed: Too many requests. Please try again later.' + 'The app is busy — retrying shortly…') while the results table and its 'N result(s)' line vanished entirely (not even the honest 'No matches.' empty state the app shows for a genuine zero-result query). I measured the lockout was still in effect after 5+ minutes of zero further requests (a direct fetch() from devtools still returned 429 with no Retry-After header), consistent with the hourl","/home/user/oo-ui/wf-a1/search/search-16-locked-after-retries.png, search-17-locked-after-toast-timeout.png, search-25-synthesize-dialog.png (stuck 'Loading articles…'); /home/user/oo-ui/wf-a1/search/probe-03-lockout-behavior.json (5 requests, all 429, per single click); direct measurement: `fetch('/api/articles?...')` still returned 429 after a 300s wait with no requests in between; src/api/main.p","This is the single largest, most interactive surface in the app (135 buttons, 5 inputs) explicitly designed for iterative query refinement (boolean syntax, source/language/date filters, five time-range presets) — exactly the usage pattern most likely to run 20-30 real search actions in a session, which at 5 requests/action against a 100/hour ceiling locks the whole surface for up to the rest of the hour with no countdown, no persisted error state, and a toast easy to miss. A user who missed the ",
P0,contrast,B-matrix,themes,F1,Home briefing 'trigger' chip badges are unreadable — the exact text invariant #9 requires be legible,"home surface, span.chip badges ('RECYCLED CLAIM', 'SOURCE LAUNDERING', 'LONELY SIGNAL', 'DIET SELF AUDIT'); all 8 swept themes (arctic, solar, sepia, light, mist, dawn, mint, paper)","Ran contrast_failures() on the Home surface in all 8 themes and cropped the rendered chip pixels for visual confirmation (dawn, paper).","The chip's fixed, theme-independent saturated color (e.g. rgb(209,198,71) for 'recycled claim', rgb(71,209,198) for 'diet self audit', rgb(209,129,71) for 'source laundering', rgb(129,71,209) for 'lonely signal' — identical RGB in every theme) produces ratios from 1.47:1 (dawn) to 3.68:1 (solar) against the required 4.5:1. The crops show pale-yellow-on-cream and pale-yellow-on-pink text that is genuinely hard to read at a glance, not merely 'a bit low'.","/home/user/oo-ui/wf-b/themes-light/crop-dawn-chip.png, /home/user/oo-ui/wf-b/themes-light/crop-paper-chip.png, dawn-report.json / paper-report.json contrast_failures[] sel='span.chip'; worst ratio 1.47:1 (dawn 'recycled claim')","These chips ARE the 'Why am I seeing this?' plain-words label that invariant #9 (trigger audit trail) requires every card to carry first — if the label can't be read, the card fails the very honesty requirement it exists to satisfy, on the app's most-visited surface (Home).",Derive the chip's text/border color from the theme's own semantic palette (e.g. run it through the same per-theme contrast-safe mapping used for --caveat) rather than a fixed hash-based hex.
P0,-,F-complexity,Task,F1,Custody/tamper-verification is unreachable from the article a user actually wants to verify,,,,"Live: /home/user/oo-ui/wf-f/discoverability-tasks/t17-custody.png (Custody tab reached, 'Item id' field visible, empty). Source: `grep -n ""custody\|article:\${\|verifyChain\|cust-item"" src/static/reader.js src/static/app-corpus.js` returns nothing; index.html line 619-637 confirms the Custody form's 'Item id' input has no seed mechanism.",This is the app's own answer to 'can I trust this copy hasn't been altered' — a core honesty-by-construction feature per the project's ethical constitution — and it is unreachable in practice for the exact use case (a single article the user is reading) it exists to serve.,Add a 'Verify custody' action to the reader's own tab bar (next to Related/Source/Links) that pre-fills the Custody form's Item id from the open article.
P0,other,G-perf-states,surface,F5,Assigned server (port 8012) was killed by the kernel OOM-killer mid-audit,,"Ran the interaction-latency battery against port 8012; after several TargetClosedError crashes and retries, curl and further Playwright launches against the port started failing outright. Checked `dmesg`.","dmesg confirmed: `oom-kill:constraint=CONSTRAINT_MEMCG ... task=uvicorn,pid=2682` / `Memory cgroup out of memory: Killed process 2682 (uvicorn)`. System free memory was 946MB-1.2GB of 15GB at the time, ~50 chromium-related processes system-wide.",dmesg output captured in this session ; free -h showing 946Mi-1.2Gi available,"This stopped the 4x-CPU-throttle comparison and the interaction-latency battery from completing. It is an environmental/sandbox-capacity fact, not an app defect, but it materially limits what this report can certify -- and per the safety rules (do not boot servers) I did not restart it myself.",
P1,honesty,A1-walk-core,feed,feed-date-silently-dropped,~5.7% of loaded articles silently drop their publish date instead of saying so,,"Loaded the Feed surface to exhaustion via repeated 'Load more' clicks (port 8012, theme=ink, lang=en, 1440x900) until all 370 eligible articles (453 total minus the stated '83 held back') were in the DOM, then scanned every .feed-card .feed-meta line for the expected 'SOURCE · DATE · LANG' shape.","21 of 370 loaded article cards (5.7%) render their meta line as 'SOURCE · LANG' — the date segment and one of its two separating middots are simply absent, e.g. 'FR Regional Herald fr · FR' next to a normal sibling card reading 'FR Regional Herald fr · 2023-01-14 · FR'. Confirmed across all 8 corpus languages and re-confirmed on a fresh session with a different random shuffle (article ids 386, 377, 276, 157, 56, 322, 221, 102, 354, 1, 134, 267, 166, 47, 299, 432, 79, 331, 212, 111, 244 all reproduce it).","/home/user/oo-ui/wf-a1/feed/feed-missing-date-zoom.png (visual: 'FR Regional Herald fr · FR', no date); /home/user/oo-ui/wf-a1/feed/feed-missing-date-context.png; raw counts in the session transcript (21/370) reproduced via direct DOM query on #feed-list .feed-meta.","The project's own non-negotiable is 'degrade loudly' — every signal should carry its method/caveat, never a silent gap. A missing date here reads as a rendering bug (a stray double space where a value should be) rather than an honest 'date unknown', and it is common enough (1 in ~18 cards) that an attentive user will notice the inconsistency without being told why.","When an article's published date is null/unknown, render an explicit token (e.g. a muted 'date unknown' segment with a hover explanation) instead of omitting the field and its separator."
P1,a11y,A1-walk-core,home,home-flipback-invisible-focus,"Flip-card BACK-face controls are keyboard-reachable and operable while visually invisible, with zero visible focus indicator",,"Home, ink theme, en, 1440x900, port 8011. From a blurred body, pressed Tab 29 times in sequence (script: /tmp/probe20.py, trace saved to /home/user/oo-ui/wf-a1/home/keyboard-tab-order-2.json) without ever clicking/activating any card.","Tab order reaches the Overtold card-front (correct, tabindex=0), then continues WITHOUT any activation into 'The exact math' summary, 'Open corpus ↗', '+ Add to draft', 'Dismiss', and '⟲ Back' — all of which live on .card-face.card-back (transform: matrix3d rotateY(180deg), backface-visibility:hidden). Measured DOM state at the '+ Add to draft' focus stop: cardClass='card bk-overtold' (no 'flipped' class — card is still showing its FRONT), the focused element itself reports visibility:visible/opacity:1 and receives a real focus ring per computed style, yet nothing is visibly focused on screen because the whole face it lives on is rotated away. The screenshot at this exact focus state (home-30) shows the card's FRONT content with no focus indicator anywhere on the page.","/home/user/oo-ui/wf-a1/home/home-30-focus-addtodraft-card-unflipped.png (front face fully visible, no visible focus ring); /home/user/oo-ui/wf-a1/home/keyboard-tab-order-2.json (trace); inline probe output: cardClass='card bk-overtold', faceTransform='matrix3d(-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1)', faceBackfaceVis='hidden', elVisibility='visible'","A keyboard-only user tabbing through Home cannot tell, at any point, that their next Enter/Space will silently 'Add to draft', 'Dismiss', or 'Open corpus' for a Lead whose caveat/method/why they have never seen — because the visible face never changes and there is no focus ring to even signal something is focused. This defeats invariant #23's whole premise (the back is 'an equal side of the card revealed by ONE flip... right beside the action') for every keyboard user: the flip is optional for t",
P1,contrast,A1-walk-core,home,home-backbutton-contrast,"The '⟲ Back' un-flip control fails contrast by a wide margin on every flipped card (ratio ≈1.04:1, needs 4.5:1)",,"Home, ink theme, en, 1440x900, port 8011. Flipped a card, read getComputedStyle on button.lead-flip-hint.back, and computed WCAG relative-luminance contrast by hand using the exact formula from oohelp.py's own composite scanner (/tmp/probe10.py); independently corroborated with axe-core (axe(), saved to axe-settled.json/axe-deepdrill.json).","text color rgb(140,149,166) on background rgb(91,157,217) → contrast ratio 1.0438:1 (need 4.5:1 for 11px normal text). axe-core flags the exact same button ('⟲ Back') as a 'serious' color-contrast violation on every card it appears on (3 instances at settled state, growing to more as more cards are flipped). Curiously, oohelp's own contrast_failures() composite scanner did NOT catch this element in two separate runs (contrast-dismiss-panel.json, contrast-deepdrill.json) despite catching other, milder failures on the same page (chip badges at 2.89:1, tier-badge at 4.39:1) — the harness has a blind spot here that axe-core and manual computation both closed.","/home/user/oo-ui/wf-a1/home/home-16-backbutton-closeup.png (crop showing the near-illegible pill: pale grey-blue text on a barely-different medium blue); /home/user/oo-ui/wf-a1/home/axe-settled.json and axe-deepdrill.json (color-contrast, serious, target '.lead-flip-hint.back')","This is the ONLY control that returns a keyboard/mouse user from the back to the front of every single flip card on the flagship surface — i.e. the exit from the caveat/method disclosure — and it is nearly unreadable for anyone with low vision, and fully unreadable in the screenshot evidence even for a sighted reviewer at 100% zoom.",
P1,invariant-regression,A1-walk-core,home,home-empty-bucket-phantom-render,"After dismissing the last remaining Lead in a bucket, the Overview lens briefly renders that bucket's header + disclosure footer with zero card body",,"Home, ink theme, en, 1440x900, port 8011. Flipped the 'Keep watching' card, clicked its 'Dismiss' toggle, then clicked the canned reason chip 'Not relevant' (script /tmp/probe13.py, /tmp/probe16.py).","Clicking the reason chip immediately fired two real POSTs (/api/signals/dismiss-reason then /api/briefing/dismiss) with no separate confirmation step — the 'optional' reason picker's chips are themselves one-click-submits (the adjacent free-text box + its own 'Dismiss' button is a SEPARATE, deliberately-staged path for a custom reason). Once the bucket's last card was gone, the SAME render pass (before any reload) showed a 'Keep watching all 1 →' column with a live disclosure footer ('Ranked by a disclosed order... This lead: 0 independent source(s); n=7...') but ZERO .card elements underneath — confirmed via DOM query: {fam:'Keep watching all 1 →', cardCount:0, whyCount:1}. Direct /api/briefing fetch at that moment showed the buckets list no longer contained a 'recycled_claim'/keep-watching bucket at all — the client was rendering stale leftover HTML/state for a bucket the server had al","/home/user/oo-ui/wf-a1/home/home-19-after-reason-chip-click.png and home-20-recheck-after-dismiss.png (both show the empty 'Keep watching' column: header + footer text, no card); DOM measurement printed inline from /tmp/probe16.py: {""fam"": ""Keep watching all 1 →"", ""cardCount"": 0, ""whyCount"": 1}","Any real user who dismisses their way through a thin bucket (very plausible on a young/small corpus like this fixture, which is exactly the corpus size this feature is meant to serve) will see a broken, empty-looking column with orphaned legal/methodology text floating with no card above it — on the app's flagship, first-screen surface, immediately after taking the exact action (Dismiss) the UI invites them to take.",
P1,honesty,A1-walk-core,insights,insights-toindex-permanent-floor,"The visible ""N to index"" counter can never reach zero on this corpus, contradicting invariant #21's plain-English promise",,"Port 8011, theme ink, lang en, 1440x900. Loaded Insights and watched the '#ins-remaining' chip (""· 1 to index"") for 20 polls over 140 seconds (walk1.py + walk2.py), spanning more than one full /api/insights/status cache cycle (cache_ttl_s=120). Also called /api/insights/reindex?limit=300 directly from the page context.","The chip never moved from ""1 to index"" across 28 total polls over ~172s. The manual reindex call returned {""indexed"":1,""newly_indexed"":0,""no_terms"":1,""failed"":0,""remaining"":1,""never_attempted"":0} — never_attempted:0 means the real indexing backlog (what autoIndexInsights actually drains) is fully cleared, but remaining stays 1 forever because that one article legitimately produced zero keyword terms. Both app-insights.js's status renderer (line ~1145) and app-diagnostics.js's autoIndexInsights (line ~43) display `remaining`, not `never_attempted`, in the user-facing chip — and the code's own comment at app-diagnostics.js:30-37 states remaining ""has a permanent floor above zero and can never be a backlog"" for exactly this reason.","/home/user/oo-ui/wf-a1/insights/log2.json (manual_reindex_call, manual_status_call, autoindex_extended_watch_140s all show ""· 1 to index"" unchanged); /home/user/oo-ui/wf-a1/insights/log1.json; screenshots insights-01-initial.png through insights-explore-resolved.png all show the same unchanged chip","Invariant #21 states ""any 'N to index' count must tick to 0 on its own."" On any real corpus that contains even one article with no extractable terms (an empty body, an all-stopword page, a self-name-suppressed body — all named as legitimate cases in the app's own code), that promise is permanently false: a user watching this counter for the life of the corpus will see it stall at a nonzero number forever, with no button and no on-screen explanation that this specific number is expected to be a p",
P1,invariant-regression,A1-walk-core,insights,insights-sparkline-zero-day-omission,PRH-31 confirmed and precisely quantified: Trends sparklines compress unequal calendar gaps into equal pixel spacing,,"Port 8011, 1440x900. Opened Insights > Trends, read the live '_trendWindowsData' the page itself had fetched from /api/insights/trending-windows, found the 'semana' term's 30-day series (2026-08-16, 2026-08-19, 2026-08-23, 2026-08-25 — real gaps of 3, 4, and 2 days), then read every <rect> inside its rendered sparkline <svg>.","The four bars' measured centers were x=49.5, 126.7, 209.3, 286.5 — each exactly 77.2px apart, i.e. perfectly equal spacing, regardless of the underlying 3/4/2-day real gaps. The 4-day gap (Aug19→Aug23) renders visually identical in width to the 2-day gap (Aug23→Aug25) and the 3-day gap (Aug16→Aug19). Traced to source: dashChartSvg (app-markets.js:952) computes X(i)=padL+plotW*(i/(n-1)) whenever opts.t0/t1 are not supplied, and the Trends-window sparkline call site (app-corpus.js ~line 1135, `dashChartSvg(pts, """")`) never supplies them — unlike the main Explore chart (ooChart), which places every point at its true epoch time and was separately verified honest (see the positive chart-interaction finding).","/home/user/oo-ui/wf-a1/insights/log6_gap.json (exact series dates + measured rect x/width for all 4 bars); screenshot /home/user/oo-ui/wf-a1/insights/trends-gap-term-scrolled.png (visually shows 'semana', 'registros' and 'fila' with the same evenly-spaced-bar pattern despite differing date labels beneath)","Invariant #16 requires full-resolution, honestly-gapped series app-wide (""never downsampled/thinned... a line only when density supports it... binning only when supported and always labeled""). An index-based x-axis silently converts a temporal series into a categorical one: a reader comparing two adjacent bars is comparing two DIFFERENT real time intervals as if they were the same, with no visual or textual cue that the axis is not linear-in-time. This is isolated to the Trends-subtab miniature ",
